"nivel","sigla","nombre","area_padre"
"2","MSPP","MEJORAMIENTO DEL SISTEMA DE PRODUCCION DE PAPA EN 11 MUNICIPIOS DEL DEPARTAMENTO DE ORURO","STRIA. DEPTAL. DE DESARROLLO PRODUCTIVO E INDUSTRIA"
"2","PMEILL","PRESER. Y MONITOREO DE ESPECIES ICTICOLAS EN LAGOS Y LAGUNAS EN 11 MUNICIPIOS ","STRIA. DEPTAL. DE DESARROLLO PRODUCTIVO E INDUSTRIA"
"2","PAPAC","PROGRAMA DE APOYO A LA PRODUCCION DE ALIMENTOS COMPLEMENTARIOS EN EL DEPARTAMENTO DE ORURO ","STRIA. DEPTAL. DE DESARROLLO PRODUCTIVO E INDUSTRIA"
"2","ASPMCFM","PROGRAMA DE APOYO AL SECTOR PRODUCTIVO MEDIANTE EL CAMPO FERIAL MULTIPROPOSITO ORURO","STRIA. DEPTAL. DE DESARROLLO PRODUCTIVO E INDUSTRIA"
"2","PDAAEACA","PROGRAMA DEPARTAMENTAL AGROPECUARIO DE ATENCION Y EMERGENCIAS ANTE EVENTOS CLIMATICOS ADVERSOS","STRIA. DEPTAL. DE DESARROLLO PRODUCTIVO E INDUSTRIA"
"2","SEDAG","SERVICIO DEPTAL. AGROPECUARIO","STRIA. DEPTAL. DE DESARROLLO PRODUCTIVO E INDUSTRIA"
"1","SDDSYSA","STRIA. DEPTAL. DE DESARROLLO SOCIAL Y SEGURIDAD ALIMENTARIA","(RAIZ)"
"2","AITTyA","AREA DE INSTITUTO TECNICO, TECNOLOGICO Y ARTISTICO","STRIA. DEPTAL. DE DESARROLLO SOCIAL Y SEGURIDAD ALIMENTARIA"
"2","DDSGGF","DIRECCION DE DESARROLLO SOCIAL, GENERO GENERACIONAL Y FAMILIA","STRIA. DEPTAL. DE DESARROLLO SOCIAL Y SEGURIDAD ALIMENTARIA"
"3","PDAMPCDAMJ","PROGRAMA DEPARTAMENTAL DE APOYO A LA MUJER PERSONAS CON DISCAPACIDAD ADULTO MAYOR Y JOVENES","DIRECCION DE DESARROLLO SOCIAL, GENERO GENERACIONAL Y FAMILIA"
"2","PS","POLITICAS SOCIALES","STRIA. DEPTAL. DE DESARROLLO SOCIAL Y SEGURIDAD ALIMENTARIA"
"2","PROFITEC","PROGRAMA DE FORTALECIMIENTO A LOS INSTITUTOS TECNICO, TECNOLOGICOS DEL DEPARTAMENTO DE ORURO","STRIA. DEPTAL. DE DESARROLLO SOCIAL Y SEGURIDAD ALIMENTARIA"
"2","PFDMJAMPD","PROGRAMA DEPARTAMENTAL DE FORTALECIMIENTO DE LOS DERECHOS DE LA MUJER, JUVENTUD, ADULTO MAYOR Y PERSONAS CON DISCAPACIDAD","STRIA. DEPTAL. DE DESARROLLO SOCIAL Y SEGURIDAD ALIMENTARIA"
"2","SLCRTFD","SECCI?N LUCHA CONTRA EL RACISMO Y TODA FORMA DE DISCRIMINACION","STRIA. DEPTAL. DE DESARROLLO SOCIAL Y SEGURIDAD ALIMENTARIA"
"2","SSAAN","SECCI?N SEGURIDAD ALIMENTARIA - ALIMENTACION Y NUTRICION","STRIA. DEPTAL. DE DESARROLLO SOCIAL Y SEGURIDAD ALIMENTARIA"
"2","SEDES","SERVICIO DEPARTAMENTAL DE SALUD","STRIA. DEPTAL. DE DESARROLLO SOCIAL Y SEGURIDAD ALIMENTARIA"
"2","UE-PCD","UNIDAD ESPECIALIZADA PARA LAS PERSONAS CON DISCAPACIDAD","STRIA. DEPTAL. DE DESARROLLO SOCIAL Y SEGURIDAD ALIMENTARIA"
"1","SDMAAYMT","STRIA. DEPTAL. DE MEDIO AMBIENTE AGUA Y MADRE TIERRA","(RAIZ)"
"2","PFMCSV","FORTALECIMIENTO DEL MANEJO COMUNITARIO SOSTENIBLE DE LA VICUNA EN EL DEPARTAMENTO DE ORURO","STRIA. DEPTAL. DE MEDIO AMBIENTE AGUA Y MADRE TIERRA"
"2","GA","GESTION AMBIENTAL","STRIA. DEPTAL. DE MEDIO AMBIENTE AGUA Y MADRE TIERRA"
"2","IARCVA","IMPLEM. DE AREAS DE RESERVA CON COBERTURA VEGETAL ALTOANDINA EN 9 MUNICIPIOS DE ORURO","STRIA. DEPTAL. DE MEDIO AMBIENTE AGUA Y MADRE TIERRA"
"2","PICFMDOR","IMPLEM. DE LA COBERTURA FORESTAL EN 6 MUNICIPIOS DEL DEPARTAMENTO DE ORURO ","STRIA. DEPTAL. DE MEDIO AMBIENTE AGUA Y MADRE TIERRA"
"2","PMST","MANEJO SOSTENIBLE DE LOS TOTORALES EN LOS LAGOS URU URU Y POOPO","STRIA. DEPTAL. DE MEDIO AMBIENTE AGUA Y MADRE TIERRA"
"2","PPSVSDMDO","PRESERVACION DE SISTEMA DE VIDA EN SUELOS DESCERTIFICADOS EN 1O MUNICIPIOS DEL DEPARTAMENTO DE ORURO ","STRIA. DEPTAL. DE MEDIO AMBIENTE AGUA Y MADRE TIERRA"
"2","PDVH2V","PROGRAMA DE DESARROLLO DE VALLES DE HIDROGENO VERDE EN EL DEPARTAMENTO DE ORURO","STRIA. DEPTAL. DE MEDIO AMBIENTE AGUA Y MADRE TIERRA"
"2","PEAI","PROGRAMA EDUCACION AMBIENTAL INTEGRAL EN EL DEPARTAMENTO DE ORURO","STRIA. DEPTAL. DE MEDIO AMBIENTE AGUA Y MADRE TIERRA"
"2","RMVPNMDO","REPOS. DEL MANTO VEGETAL DE PRADERAS NATIVAS EN 10 MUNICIPIOS DEL DEPARTAMENTO DE ORURO ","STRIA. DEPTAL. DE MEDIO AMBIENTE AGUA Y MADRE TIERRA"
"2","SEDACYR","SERVICIO DEPARTAMENTAL DE AGUAS, CUENCAS Y RIEGOS","STRIA. DEPTAL. DE MEDIO AMBIENTE AGUA Y MADRE TIERRA"
"3","PMSACHPC","PROYECTO MANEJO DEL SISTEMA ACUIFERO CHALLAPAMPA, PARIA Y COCHIRAYA","SERVICIO DEPARTAMENTAL DE AGUAS, CUENCAS Y RIEGOS"
"2","UMARN","UNIDAD DE MEDIO AMB. Y REC. NATURALES","STRIA. DEPTAL. DE MEDIO AMBIENTE AGUA Y MADRE TIERRA"
"1","SDMMRE","STRIA. DEPTAL. DE MINERIA, METALURGIA Y RECURSOS ENERGETICOS","(RAIZ)"
"2","AASCC","AREA DE AUTOMATIZACION DEL SISTEMA DE CONTROL Y COBRO","STRIA. DEPTAL. DE MINERIA, METALURGIA Y RECURSOS ENERGETICOS"
"2","ADCM","AREA DE DESARROLLO COOPERATIVO MINERO","STRIA. DEPTAL. DE MINERIA, METALURGIA Y RECURSOS ENERGETICOS"
"2","AMMNM","AREA DE MINERALES METALICOS Y NO METALICOS","STRIA. DEPTAL. DE MINERIA, METALURGIA Y RECURSOS ENERGETICOS"
"2","AREE","AREA DE RECURSOS EVAPORITICOS Y ENERGETICOS","STRIA. DEPTAL. DE MINERIA, METALURGIA Y RECURSOS ENERGETICOS"
"2","AL","AREA LEGAL","STRIA. DEPTAL. DE MINERIA, METALURGIA Y RECURSOS ENERGETICOS"
"2","AOCF","AREA OPERATIVA DE CONTROL Y FISCALIZACION","STRIA. DEPTAL. DE MINERIA, METALURGIA Y RECURSOS ENERGETICOS"
"2","DRM","DIRECCION DE REGALIAS MINERAS","STRIA. DEPTAL. DE MINERIA, METALURGIA Y RECURSOS ENERGETICOS"
"3","UACA","UNIDAD DE ADMINISTRACION CONTROL Y AUTOMATIZACION","DIRECCION DE REGALIAS MINERAS"
"3","UACA","UNIDAD DE ADMINISTRACION CONTROL Y AUTOMATIZACION","DIRECCION DE REGALIAS MINERAS"
"2","DTGDME","DIRECCION TECNICA DE GEOLOGIA, DESARROLLO MINERO Y ENERGIA","STRIA. DEPTAL. DE MINERIA, METALURGIA Y RECURSOS ENERGETICOS"
"2","UTGPME","UNIDAD TECNICA DE GEOLOGIA, PROYECTOS MINEROS Y ENERGETICOS","STRIA. DEPTAL. DE MINERIA, METALURGIA Y RECURSOS ENERGETICOS"
"1","SDOP","STRIA. DEPTAL. DE OBRAS PUBLICAS","(RAIZ)"
"2","AOC","AREA DE OBRAS CIVILES","STRIA. DEPTAL. DE OBRAS PUBLICAS"
"2","COCHBIRDDO","CONST. OBRAS DE CONTROL HIDRAULICO EN EL BRAZO IZQUIERDO DEL RIO DESAGUADERO DPTO. DE ORURO ","STRIA. DEPTAL. DE OBRAS PUBLICAS"
"2","DI","DIRECCION DE INFRAESTRUCTURA","STRIA. DEPTAL. DE OBRAS PUBLICAS"
"2","EREA","ELECTRIFICACION RURAL Y ENERGIAS ALTERNATIVAS","STRIA. DEPTAL. DE OBRAS PUBLICAS"
"2","ISPCIRD","IMPLEM. DEL SISTEMA DE PREVENCION CONTRA INUNDACIONES EN EL RIO DESAGUADERO DEPARTAMENTO DE ORURO","STRIA. DEPTAL. DE OBRAS PUBLICAS"
"2","PAED","PROGRAMA DE APOYO A LA ELECTRIFICACION DEPARTAMENTAL","STRIA. DEPTAL. DE OBRAS PUBLICAS"
"2","PTII","PROGRAMA DE TRANSPORTE INTERPROVINCIAL E INTERMUNICIPAL DEL DEPARTAMENTO DE ORURO","STRIA. DEPTAL. DE OBRAS PUBLICAS"
"2","PDFOC","PROGRAMA DEPARTAMENTAL DE FORTALECIMIENTO A OBRAS CIVILES","STRIA. DEPTAL. DE OBRAS PUBLICAS"
"2","PDMASB","PROGRAMA DEPARTAMENTAL DE MONITOREO DE AGUA Y SANEAMIENTO BASICO","STRIA. DEPTAL. DE OBRAS PUBLICAS"
"2","PDRE","PROGRAMA DEPARTAMENTAL DE RIESGOS Y EMERGENCIAS ","STRIA. DEPTAL. DE OBRAS PUBLICAS"
"2","PCPPPUHDO","PROYECTO CONST. Y PERFORACION DE POZOS PROFUNDOS EL USO DE HIDRICOS EN EL DEPARTAMENTO DE ORURO ","STRIA. DEPTAL. DE OBRAS PUBLICAS"
"2","UEH","UNIDAD DE ENERGIA E HIDROCARBUROS","STRIA. DEPTAL. DE OBRAS PUBLICAS"
"2","UPRADE","UNIDAD DE PREVENCION DE RIESGOS Y ATENCION DE DESASTRES Y/O EMERGENCIAS","STRIA. DEPTAL. DE OBRAS PUBLICAS"
"2","UNASBVI","UNIDAD DE SANEAMIENTO BASICO Y VIVIENDA ","STRIA. DEPTAL. DE OBRAS PUBLICAS"
"2","UDETRA","UNIDAD DEPARTAMENTAL DE TRANSPORTE (UDETRA)","STRIA. DEPTAL. DE OBRAS PUBLICAS"
"1","SDPD","STRIA. DEPTAL. DE PLANIFICACION DEL DESARROLLO","(RAIZ)"
"2","APIP","AREA DE PROGRAMACION DE INVERSION PUBLICA","STRIA. DEPTAL. DE PLANIFICACION DEL DESARROLLO"
"2","ATI","AREA DE TECNOLOGIA DE LA INFORMACION","STRIA. DEPTAL. DE PLANIFICACION DEL DESARROLLO"
"2","PDATIPG","PROGRAMA DE APOYO TECNICO A LA INVERSION PUBLICA EN EL GOBIERNO AUTONOMO DEPARTAMENTAL DE ORURO","STRIA. DEPTAL. DE PLANIFICACION DEL DESARROLLO"
"2","PFIP","PROGRAMA DE FORTALECIMIENTO A LA INVERSION PUBLICA DE LA GOBERNACION DE ORURO","STRIA. DEPTAL. DE PLANIFICACION DEL DESARROLLO"
"2","SAIPO","SECCION ASUNTOS INDIGENAS Y PUEBLOS ORIGINARIOS","STRIA. DEPTAL. DE PLANIFICACION DEL DESARROLLO"
"2","SED-FM","SERVICIO DEPTAL. DE FORTALECIMIENTO MUNICIPAL Y DESCOLONIZACION","STRIA. DEPTAL. DE PLANIFICACION DEL DESARROLLO"
"3","FOMRIE","FORTAL. A. MUNICIPIOS Y RELEVAMIENTO DE INFORMACION ESTADISTICA DEL GOBIERNO AUTONOMO DEPARTAMENTAL DE ORURO","SERVICIO DEPTAL. DE FORTALECIMIENTO MUNICIPAL Y DESCOLONIZACION"
"2","UGPPP","UNIDAD DE GESTION DE PROGRAMAS Y PROYECTOS","STRIA. DEPTAL. DE PLANIFICACION DEL DESARROLLO"
"2","UPEET","UNIDAD DE PLANIFICACION ESTRATEGICA Y ESTADISTICA TERRITORIAL","STRIA. DEPTAL. DE PLANIFICACION DEL DESARROLLO"
"2","UPIEP","UNIDAD DE PRE-INVERSION Y EVALUACION DE PROYECTOS","STRIA. DEPTAL. DE PLANIFICACION DEL DESARROLLO"
